#,Source,Type,URL or file path
1,Regulations Overview,Webpage,https://isss.oie.gatech.edu/node/4097
2,F Immigration Document Overview,Webpage,https://isss.oie.gatech.edu/node/4098
3,Enrollment Requirements,Webpage,https://isss.oie.gatech.edu/node/4100
4,Understanding Your I-20/DS-2019,Webpage,https://isss.oie.gatech.edu/understanding-your-i-20ds-2019
5,I-20 Updates: Keeping your I-20 Up-To-Date,Webpage,https://isss.oie.gatech.edu/node/3431
6,Digitally-signed I-20 Form Guidance,Webpage,https://isss.oie.gatech.edu/content/digitally-signed-i-20-form-guidance
7,Travel,Webpage,https://isss.oie.gatech.edu/node/4099
8,Renewing Your Visa,Webpage,https://isss.oie.gatech.edu/node/2794
9,Taxes for Non-Residents,Webpage,https://isss.oie.gatech.edu/node/181
10,Change of Status to F-1,Webpage,https://isss.oie.gatech.edu/content/change-visa-status-f-1
11,Transfer SEVIS Record to Another U.S. Institution,Webpage,https://isss.oie.gatech.edu/node/4095
12,Change of Status From F-1,Webpage,https://isss.oie.gatech.edu/node/4096
13,Out of Status Options,Webpage,https://isss.oie.gatech.edu/node/3967
14,Social Security Numbers,Webpage,https://isss.oie.gatech.edu/node/3399
15,F-1 Employment Overview,Webpage,https://isss.oie.gatech.edu/node/3143
16,Practical Training Fee,Webpage,https://isss.oie.gatech.edu/isss/ptf
17,Curricular Practical Training (CPT),Webpage,https://isss.oie.gatech.edu/content/curricular-practical-training-cpt-georgia-tech
18,Optional Practical Training (OPT),Webpage,https://isss.oie.gatech.edu/node/3142
19,OPT Workshop,Webpage,https://isss.oie.gatech.edu/isss/opt
20,OPT Employment Types and Requirements,Webpage,https://isss.oie.gatech.edu/isss/types-work-constitute-employment-opt-evidence-employment
21,OPT Frequently Asked Questions,Webpage,https://isss.oie.gatech.edu/node/3456
22,OPT and Traveling Abroad,Webpage,https://isss.oie.gatech.edu/node/3622
23,STEM OPT Extension,Webpage,https://isss.oie.gatech.edu/content/stem-opt-extension
24,H1B Cap-Gap Extension,Webpage,https://isss.oie.gatech.edu/node/3864
25,Professional Development,Webpage,https://isss.oie.gatech.edu/professional-development
